daily_rank,title,first_screening_date,nation,distribution,daily_takings,daily_attendance,date_pulled,screening_days,date,day_of_week,avg_ticket_price
1,C'E' Ancora Domani,2023-10-26,ITA,Vision Distribution,449991.06,66700,2023-11-17,31,2023-11-16,Thursday,6.7464926536731635
2,Hunger Games - La Ballata Dell'Usignolo E Del Serpente,2023-11-15,USA,Medusa Film S.P.A.,238466.31,32469,2023-11-17,11,2023-11-16,Thursday,7.344430379746836
3,The Marvels,2023-11-08,USA,Walt Disney S.M.P. Italia,60914.35,8628,2023-11-17,18,2023-11-16,Thursday,7.060077654149281
4,Thanksgiving,2023-11-16,USA,Eagle Pictures S.P.A.,41232.57,5709,2023-11-17,10,2023-11-16,Thursday,7.222380451918024
5,The Old Oak,2023-11-16,FRA,Lucky Red Distrib.,36605.89,5879,2023-11-17,10,2023-11-16,Thursday,6.226550433747236
6,Comandante,2023-10-31,ITA,01 Distribution,33606.07,5323,2023-11-17,26,2023-11-16,Thursday,6.31337027991734
7,Trolls 3 - Tutti Insieme (Trolls Band Together),2023-11-09,USA,Universal S.R.L.,20024.88,3314,2023-11-17,17,2023-11-16,Thursday,6.0425105612552805
8,Five Nights At Freddy'S,2023-11-02,USA,Universal S.R.L.,18484.63,2478,2023-11-17,24,2023-11-16,Thursday,7.459495560936239
9,Killers Of The Flower Moon,2023-10-19,USA,01 Distribution,13874.92,2220,2023-11-17,38,2023-11-16,Thursday,6.249963963963964
10,Dream Scenario - Hai Mai Sognato Quest'Uomo?,2023-11-16,USA,I Wonder Pictures S.R.L.,13246.96,2025,2023-11-17,10,2023-11-16,Thursday,6.541708641975308
1,C'E' Ancora Domani,2023-10-26,ITA,Vision Distribution,716115.23,102152,2023-11-18,31,2023-11-17,Friday,7.010290841099538
2,Hunger Games - La Ballata Dell'Usignolo E Del Serpente,2023-11-15,USA,Medusa Film S.P.A.,407469.68,54074,2023-11-18,11,2023-11-17,Friday,7.535408514258239
3,The Marvels,2023-11-08,USA,Walt Disney S.M.P. Italia,109079.49,15018,2023-11-18,18,2023-11-17,Friday,7.263250099880144
4,Thanksgiving,2023-11-16,USA,Eagle Pictures S.P.A.,68469.31,9105,2023-11-18,10,2023-11-17,Friday,7.519968149368479
5,Comandante,2023-10-31,ITA,01 Distribution,54556.27,8071,2023-11-18,26,2023-11-17,Friday,6.7595428075827035
6,The Old Oak,2023-11-16,FRA,Lucky Red Distrib.,51805.05,8365,2023-11-18,10,2023-11-17,Friday,6.193072325164375
7,Trolls 3 - Tutti Insieme (Trolls Band Together),2023-11-09,USA,Universal S.R.L.,46814.69,7438,2023-11-18,17,2023-11-17,Friday,6.293988975531057
8,Five Nights At Freddy'S,2023-11-02,USA,Universal S.R.L.,45049.66,5769,2023-11-18,24,2023-11-17,Friday,7.808920090136939
9,Dream Scenario - Hai Mai Sognato Quest'Uomo?,2023-11-16,USA,I Wonder Pictures S.R.L.,19793.89,2942,2023-11-18,10,2023-11-17,Friday,6.728038749150238
10,Killers Of The Flower Moon,2023-10-19,USA,01 Distribution,18681.33,2518,2023-11-18,38,2023-11-17,Friday,7.4191143764892775
1,C'E' Ancora Domani,2023-10-26,ITA,Vision Distribution,1347271.44,181856,2023-11-19,31,2023-11-18,Saturday,7.408451961991905
2,Hunger Games - La Ballata Dell'Usignolo E Del Serpente,2023-11-15,USA,Medusa Film S.P.A.,778581.54,97669,2023-11-19,11,2023-11-18,Saturday,7.971634193039757
3,The Marvels,2023-11-08,USA,Walt Disney S.M.P. Italia,255545.91,33430,2023-11-19,18,2023-11-18,Saturday,7.6442090936284774
4,Trolls 3 - Tutti Insieme (Trolls Band Together),2023-11-09,USA,Universal S.R.L.,192060.18,28338,2023-11-19,17,2023-11-18,Saturday,6.777478297692144
5,Comandante,2023-10-31,ITA,01 Distribution,150882.31,20906,2023-11-19,26,2023-11-18,Saturday,7.21717736534966
6,Thanksgiving,2023-11-16,USA,Eagle Pictures S.P.A.,149022.72,18435,2023-11-19,10,2023-11-18,Saturday,8.083684296175752
7,The Old Oak,2023-11-16,FRA,Lucky Red Distrib.,129453.32,19030,2023-11-19,10,2023-11-18,Saturday,6.802591697320022
8,Five Nights At Freddy'S,2023-11-02,USA,Universal S.R.L.,128149.19,15427,2023-11-19,24,2023-11-18,Saturday,8.306812082712128
9,Dream Scenario - Hai Mai Sognato Quest'Uomo?,2023-11-16,USA,I Wonder Pictures S.R.L.,45799.87,6384,2023-11-19,10,2023-11-18,Saturday,7.174165100250627
10,Killers Of The Flower Moon,2023-10-19,USA,01 Distribution,39234.41,4950,2023-11-19,38,2023-11-18,Saturday,7.926143434343435
1,C'E' Ancora Domani,2023-10-26,ITA,Vision Distribution,1544231.0,211764,2023-11-20,31,2023-11-19,Sunday,7.292226251865284
2,Hunger Games - La Ballata Dell'Usignolo E Del Serpente,2023-11-15,USA,Medusa Film S.P.A.,619325.51,78293,2023-11-20,11,2023-11-19,Sunday,7.910356098246331
3,Trolls 3 - Tutti Insieme (Trolls Band Together),2023-11-09,USA,Universal S.R.L.,250674.35,36489,2023-11-20,17,2023-11-19,Sunday,6.869860779961084
4,The Marvels,2023-11-08,USA,Walt Disney S.M.P. Italia,210299.79,27928,2023-11-20,18,2023-11-19,Sunday,7.530069822400459
5,The Old Oak,2023-11-16,FRA,Lucky Red Distrib.,127053.64,18979,2023-11-20,10,2023-11-19,Sunday,6.6944327941408925
6,Comandante,2023-10-31,ITA,01 Distribution,126824.19,17953,2023-11-20,26,2023-11-19,Sunday,7.064233832785607
7,Thanksgiving,2023-11-16,USA,Eagle Pictures S.P.A.,95936.97,12154,2023-11-20,10,2023-11-19,Sunday,7.8934482474905385
8,Five Nights At Freddy'S,2023-11-02,USA,Universal S.R.L.,80244.52,9859,2023-11-20,24,2023-11-19,Sunday,8.139214930520337
9,Dream Scenario - Hai Mai Sognato Quest'Uomo?,2023-11-16,USA,I Wonder Pictures S.R.L.,44300.7,6239,2023-11-20,10,2023-11-19,Sunday,7.100609071966661
10,Me Contro Te Il Film – Vacanze In Transilvania,2023-10-19,ITA,Warner Bros Italia S.P.A.,37520.8,5383,2023-11-20,38,2023-11-19,Sunday,6.970239643321569
